word,pos,AvgFreq,rn,pos_1,ChatFreq,rn_chat,pos_2,HumanFreq,rn_human,ChatFreqSig,HumanFreqSig
device,NOUN,2.7789800353617204,2,NOUN,4.2613636363636358,1,NOUN,1.2965964343598055,4,1.4823836010019154,-1.4823836010019149
light,NOUN,2.210798217179903,3,NOUN,3.125,3,NOUN,1.2965964343598055,5,0.914201782820097,-0.91420178282009745
user,NOUN,3.1231582437011935,1,NOUN,3.9772727272727271,2,NOUN,2.26904376012966,2,0.85411448357153352,-0.85411448357153352
people,NOUN,1.9458155296891118,4,NOUN,1.1363636363636365,16,NOUN,2.7552674230145868,1,-0.80945189332547529,0.80945189332547507
wearable,NOUN,0.72933549432739064,18,NOUN,0.0,481,NOUN,1.4586709886547813,3,-0.72933549432739064,0.72933549432739064
screen,NOUN,0.64829821717990277,24,NOUN,0.0,480,NOUN,1.2965964343598055,8,-0.64829821717990277,0.64829821717990277
work,NOUN,0.79034367172535736,15,NOUN,0.28409090909090912,200,NOUN,1.2965964343598055,7,-0.50625276263444818,0.50625276263444818
space,NOUN,0.70930639457786948,21,NOUN,0.28409090909090912,168,NOUN,1.1345218800648298,9,-0.42521548548696037,0.42521548548696031
interface,NOUN,0.70930639457786948,22,NOUN,0.28409090909090912,169,NOUN,1.1345218800648298,10,-0.42521548548696037,0.42521548548696031
time,NOUN,0.70930639457786948,23,NOUN,0.28409090909090912,170,NOUN,1.1345218800648298,11,-0.42521548548696037,0.42521548548696031
table,NOUN,0.4051863857374392,47,NOUN,0.0,482,NOUN,0.81037277147487841,15,-0.4051863857374392,0.4051863857374392
day,NOUN,0.93238912627081194,10,NOUN,0.56818181818181823,56,NOUN,1.2965964343598055,6,-0.36420730808899371,0.3642073080889936
app,NOUN,0.62826911743038172,25,NOUN,0.28409090909090912,208,NOUN,0.97244732576985438,12,-0.3441782083394726,0.34417820833947266
able,ADJ,0.32414910858995138,69,ADJ,0.0,269,ADJ,0.64829821717990277,19,-0.32414910858995138,0.32414910858995138
vibrate,NOUN,0.32414910858995138,70,NOUN,0.0,475,NOUN,0.64829821717990277,23,-0.32414910858995138,0.32414910858995138
break,NOUN,0.32414910858995138,71,NOUN,0.0,476,NOUN,0.64829821717990277,24,-0.32414910858995138,0.32414910858995138
phone,NOUN,0.32414910858995138,72,NOUN,0.0,477,NOUN,0.64829821717990277,25,-0.32414910858995138,0.32414910858995138
water,NOUN,0.32414910858995138,73,NOUN,0.0,478,NOUN,0.64829821717990277,26,-0.32414910858995138,0.32414910858995138
wifi,NOUN,0.32414910858995138,74,NOUN,0.0,479,NOUN,0.64829821717990277,27,-0.32414910858995138,0.32414910858995138
track,NOUN,0.54723184028289373,33,NOUN,0.28409090909090912,201,NOUN,0.81037277147487841,14,-0.26314093119198462,0.26314093119198467
level,NOUN,0.89233092677176962,11,NOUN,1.1363636363636365,13,NOUN,0.64829821717990277,20,0.24403270959186685,-0.24403270959186685
audio,ADJ,0.24311183144246354,95,ADJ,0.0,270,ADJ,0.48622366288492708,29,-0.24311183144246354,0.24311183144246354
laptop,NOUN,0.46619456313540597,38,NOUN,0.28409090909090912,199,NOUN,0.64829821717990277,22,-0.18210365404449685,0.1821036540444968
task,NOUN,0.97336820391925749,7,NOUN,1.1363636363636365,14,NOUN,0.81037277147487841,13,0.16299543244437897,-0.16299543244437908
portable,ADJ,0.750285472226315,16,ADJ,0.85227272727272718,18,ADJ,0.64829821717990277,16,0.10198725504641215,-0.10198725504641226
bracelet,NOUN,0.750285472226315,17,NOUN,0.85227272727272718,26,NOUN,0.64829821717990277,21,0.10198725504641215,-0.10198725504641226
public,ADJ,0.3851572859879181,48,ADJ,0.28409090909090912,104,ADJ,0.48622366288492708,28,-0.10106637689700898,0.10106637689700898
interactive,ADJ,0.60824001768086045,26,ADJ,0.56818181818181823,34,ADJ,0.64829821717990277,17,-0.040058199499042213,0.040058199499042324
tangible,ADJ,0.60824001768086045,27,ADJ,0.56818181818181823,35,ADJ,0.64829821717990277,18,-0.040058199499042213,0.040058199499042324