word,POS,wordCount-Chat,percent_of_total-Chat,POS-Chat,wordCount_y,percent_of_total_y,POS-Human,wordCount-Human,percent_of_total-Human
user,NOUN,28,2.8895768833849327,NOUN,14.0,3.977272727272727,NOUN,14.0,2.26904376012966
device,NOUN,23,2.3735810113519094,NOUN,15.0,4.261363636363636,NOUN,8.0,1.2965964343598055
people,NOUN,21,2.1671826625387,NOUN,4.0,1.1363636363636365,NOUN,17.0,2.755267423014587
light,NOUN,19,1.96078431372549,NOUN,11.0,3.125,NOUN,8.0,1.2965964343598055
day,NOUN,10,1.0319917440660475,NOUN,2.0,0.5681818181818182,NOUN,8.0,1.2965964343598055
work,NOUN,9,0.9287925696594428,NOUN,1.0,0.2840909090909091,NOUN,8.0,1.2965964343598055
task,NOUN,9,0.9287925696594428,NOUN,4.0,1.1363636363636365,NOUN,5.0,0.8103727714748784
wearable,NOUN,9,0.9287925696594428,,,,NOUN,9.0,1.4586709886547813
sound,NOUN,8,0.8255933952528379,NOUN,6.0,1.7045454545454544,NOUN,2.0,0.3241491085899514
space,NOUN,8,0.8255933952528379,NOUN,1.0,0.2840909090909091,NOUN,7.0,1.1345218800648298
interface,NOUN,8,0.8255933952528379,NOUN,1.0,0.2840909090909091,NOUN,7.0,1.1345218800648298
screen,NOUN,8,0.8255933952528379,,,,NOUN,8.0,1.2965964343598055
time,NOUN,8,0.8255933952528379,NOUN,1.0,0.2840909090909091,NOUN,7.0,1.1345218800648298
level,NOUN,8,0.8255933952528379,NOUN,4.0,1.1363636363636365,NOUN,4.0,0.6482982171799028
bracelet,NOUN,7,0.7223942208462332,NOUN,3.0,0.8522727272727272,NOUN,4.0,0.6482982171799028
massage,NOUN,7,0.7223942208462332,NOUN,4.0,1.1363636363636365,NOUN,3.0,0.4862236628849271
portable,ADJ,7,0.7223942208462332,ADJ,3.0,0.8522727272727272,ADJ,4.0,0.6482982171799028
pillow,NOUN,7,0.7223942208462332,NOUN,6.0,1.7045454545454544,NOUN,1.0,0.1620745542949757
surface,NOUN,7,0.7223942208462332,NOUN,7.0,1.9886363636363635,,,
app,NOUN,7,0.7223942208462332,NOUN,1.0,0.2840909090909091,NOUN,6.0,0.9724473257698544
wrist,NOUN,7,0.7223942208462332,NOUN,6.0,1.7045454545454544,NOUN,1.0,0.1620745542949757
posture,NOUN,6,0.6191950464396285,NOUN,6.0,1.7045454545454544,,,
track,NOUN,6,0.6191950464396285,NOUN,1.0,0.2840909090909091,NOUN,5.0,0.8103727714748784
interactive,ADJ,6,0.6191950464396285,ADJ,2.0,0.5681818181818182,ADJ,4.0,0.6482982171799028
tangible,ADJ,6,0.6191950464396285,ADJ,2.0,0.5681818181818182,ADJ,4.0,0.6482982171799028
other,NOUN,6,0.6191950464396285,NOUN,5.0,1.4204545454545454,ADJ,1.0,0.1620745542949757
nausea,NOUN,5,0.5159958720330238,NOUN,2.0,0.5681818181818182,NOUN,3.0,0.4862236628849271
ambience,NOUN,5,0.5159958720330238,NOUN,3.0,0.8522727272727272,NOUN,2.0,0.3241491085899514
desk,NOUN,5,0.5159958720330238,NOUN,2.0,0.5681818181818182,NOUN,3.0,0.4862236628849271
schedule,NOUN,5,0.5159958720330238,NOUN,3.0,0.8522727272727272,NOUN,2.0,0.3241491085899514
noise,NOUN,5,0.5159958720330238,NOUN,2.0,0.5681818181818182,NOUN,3.0,0.4862236628849271
table,NOUN,5,0.5159958720330238,,,,NOUN,5.0,0.8103727714748784
color,NOUN,5,0.5159958720330238,NOUN,3.0,0.8522727272727272,NOUN,2.0,0.3241491085899514
display,NOUN,5,0.5159958720330238,NOUN,5.0,1.4204545454545454,,,
sensor,NOUN,5,0.5159958720330238,NOUN,2.0,0.5681818181818182,NOUN,3.0,0.4862236628849271
laptop,NOUN,5,0.5159958720330238,NOUN,1.0,0.2840909090909091,NOUN,4.0,0.6482982171799028
person,NOUN,5,0.5159958720330238,NOUN,3.0,0.8522727272727272,NOUN,2.0,0.3241491085899514
name,NOUN,5,0.5159958720330238,NOUN,5.0,1.4204545454545454,,,
material,NOUN,4,0.4127966976264189,NOUN,2.0,0.5681818181818182,NOUN,2.0,0.3241491085899514
machine,NOUN,4,0.4127966976264189,NOUN,1.0,0.2840909090909091,NOUN,3.0,0.4862236628849271
public,ADJ,4,0.4127966976264189,ADJ,1.0,0.2840909090909091,ADJ,3.0,0.4862236628849271
smart,ADJ,4,0.4127966976264189,ADJ,2.0,0.5681818181818182,ADJ,2.0,0.3241491085899514
able,ADJ,4,0.4127966976264189,,,,ADJ,4.0,0.6482982171799028
cm,NOUN,4,0.4127966976264189,NOUN,4.0,1.1363636363636365,,,
computer,NOUN,4,0.4127966976264189,NOUN,2.0,0.5681818181818182,NOUN,2.0,0.3241491085899514
glass,NOUN,4,0.4127966976264189,NOUN,1.0,0.2840909090909091,NOUN,3.0,0.4862236628849271
reminder,NOUN,4,0.4127966976264189,NOUN,1.0,0.2840909090909091,NOUN,3.0,0.4862236628849271
heart,NOUN,4,0.4127966976264189,NOUN,1.0,0.2840909090909091,NOUN,3.0,0.4862236628849271
rate,NOUN,4,0.4127966976264189,NOUN,1.0,0.2840909090909091,NOUN,3.0,0.4862236628849271
environment,NOUN,4,0.4127966976264189,NOUN,2.0,0.5681818181818182,NOUN,2.0,0.3241491085899514
notification,NOUN,4,0.4127966976264189,NOUN,1.0,0.2840909090909091,NOUN,3.0,0.4862236628849271
vibrate,NOUN,4,0.4127966976264189,,,,NOUN,4.0,0.6482982171799028
break,NOUN,4,0.4127966976264189,,,,NOUN,4.0,0.6482982171799028
phone,NOUN,4,0.4127966976264189,,,,NOUN,4.0,0.6482982171799028
water,NOUN,4,0.4127966976264189,,,,NOUN,4.0,0.6482982171799028
wifi,NOUN,4,0.4127966976264189,,,,NOUN,4.0,0.6482982171799028
headphone,NOUN,3,0.3095975232198142,,,,NOUN,3.0,0.4862236628849271
sickness,NOUN,3,0.3095975232198142,NOUN,2.0,0.5681818181818182,NOUN,1.0,0.1620745542949757
digital,ADJ,3,0.3095975232198142,ADJ,3.0,0.8522727272727272,,,
way,NOUN,3,0.3095975232198142,,,,NOUN,3.0,0.4862236628849271
bag,NOUN,3,0.3095975232198142,,,,NOUN,3.0,0.4862236628849271
intensity,NOUN,3,0.3095975232198142,NOUN,3.0,0.8522727272727272,,,
background,NOUN,3,0.3095975232198142,NOUN,2.0,0.5681818181818182,NOUN,1.0,0.1620745542949757
different,ADJ,3,0.3095975232198142,ADJ,1.0,0.2840909090909091,ADJ,2.0,0.3241491085899514
wireless,ADJ,3,0.3095975232198142,ADJ,2.0,0.5681818181818182,ADJ,1.0,0.1620745542949757
hour,NOUN,3,0.3095975232198142,,,,NOUN,3.0,0.4862236628849271
technology,NOUN,3,0.3095975232198142,NOUN,2.0,0.5681818181818182,NOUN,1.0,0.1620745542949757
control,NOUN,3,0.3095975232198142,NOUN,2.0,0.5681818181818182,NOUN,1.0,0.1620745542949757
scent,NOUN,3,0.3095975232198142,NOUN,1.0,0.2840909090909091,NOUN,2.0,0.3241491085899514
collaborative,ADJ,3,0.3095975232198142,ADJ,1.0,0.2840909090909091,ADJ,2.0,0.3241491085899514
hand,NOUN,3,0.3095975232198142,NOUN,1.0,0.2840909090909091,NOUN,2.0,0.3241491085899514
setting,NOUN,3,0.3095975232198142,NOUN,2.0,0.5681818181818182,NOUN,1.0,0.1620745542949757
heartbeat,NOUN,3,0.3095975232198142,NOUN,2.0,0.5681818181818182,NOUN,1.0,0.1620745542949757
plastic,NOUN,3,0.3095975232198142,NOUN,3.0,0.8522727272727272,,,
audio,ADJ,3,0.3095975232198142,,,,ADJ,3.0,0.4862236628849271
atmosphere,NOUN,3,0.3095975232198142,NOUN,1.0,0.2840909090909091,NOUN,2.0,0.3241491085899514
same,ADJ,3,0.3095975232198142,,,,ADJ,3.0,0.4862236628849271
outside,NOUN,3,0.3095975232198142,,,,NOUN,3.0,0.4862236628849271
warm,NOUN,3,0.3095975232198142,ADJ,2.0,0.5681818181818182,NOUN,1.0,0.1620745542949757
mobile,ADJ,3,0.3095975232198142,ADJ,1.0,0.2840909090909091,ADJ,2.0,0.3241491085899514
call,NOUN,3,0.3095975232198142,,,,NOUN,3.0,0.4862236628849271
type,NOUN,3,0.3095975232198142,NOUN,1.0,0.2840909090909091,NOUN,2.0,0.3241491085899514
smartphone,NOUN,3,0.3095975232198142,NOUN,3.0,0.8522727272727272,,,
worker,NOUN,3,0.3095975232198142,,,,NOUN,3.0,0.4862236628849271
strain,NOUN,3,0.3095975232198142,NOUN,2.0,0.5681818181818182,NOUN,1.0,0.1620745542949757
pulse,NOUN,3,0.3095975232198142,NOUN,1.0,0.2840909090909091,NOUN,2.0,0.3241491085899514
pen,NOUN,3,0.3095975232198142,NOUN,2.0,0.5681818181818182,NOUN,1.0,0.1620745542949757
progress,NOUN,3,0.3095975232198142,NOUN,1.0,0.2840909090909091,NOUN,2.0,0.3241491085899514
stress,NOUN,3,0.3095975232198142,NOUN,2.0,0.5681818181818182,NOUN,1.0,0.1620745542949757
list,NOUN,3,0.3095975232198142,NOUN,1.0,0.2840909090909091,NOUN,2.0,0.3241491085899514
sleep,NOUN,3,0.3095975232198142,NOUN,1.0,0.2840909090909091,NOUN,2.0,0.3241491085899514
motion,NOUN,3,0.3095975232198142,NOUN,2.0,0.5681818181818182,NOUN,1.0,0.1620745542949757
natural,ADJ,3,0.3095975232198142,ADJ,2.0,0.5681818181818182,ADJ,1.0,0.1620745542949757
necklace,NOUN,3,0.3095975232198142,NOUN,2.0,0.5681818181818182,NOUN,1.0,0.1620745542949757
piece,NOUN,2,0.2063983488132094,,,,NOUN,2.0,0.3241491085899514
pendant,NOUN,2,0.2063983488132094,NOUN,2.0,0.5681818181818182,,,
goal,NOUN,2,0.2063983488132094,NOUN,1.0,0.2840909090909091,NOUN,1.0,0.1620745542949757
speaker,NOUN,2,0.2063983488132094,NOUN,1.0,0.2840909090909091,NOUN,1.0,0.1620745542949757
game,NOUN,2,0.2063983488132094,,,,NOUN,2.0,0.3241491085899514
soft,ADJ,2,0.2063983488132094,ADJ,2.0,0.5681818181818182,,,
place,NOUN,2,0.2063983488132094,,,,NOUN,2.0,0.3241491085899514
feeling,NOUN,2,0.2063983488132094,NOUN,1.0,0.2840909090909091,NOUN,1.0,0.1620745542949757
paper,NOUN,2,0.2063983488132094,NOUN,1.0,0.2840909090909091,NOUN,1.0,0.1620745542949757
fun,NOUN,2,0.2063983488132094,,,,NOUN,2.0,0.3241491085899514
several,ADJ,2,0.2063983488132094,ADJ,2.0,0.5681818181818182,,,
flat,NOUN,2,0.2063983488132094,ADJ,1.0,0.2840909090909091,NOUN,1.0,0.1620745542949757
photo,NOUN,2,0.2063983488132094,,,,NOUN,2.0,0.3241491085899514
signal,NOUN,2,0.2063983488132094,,,,NOUN,2.0,0.3241491085899514
mood,NOUN,2,0.2063983488132094,,,,NOUN,2.0,0.3241491085899514
habit,NOUN,2,0.2063983488132094,,,,NOUN,2.0,0.3241491085899514
practice,NOUN,2,0.2063983488132094,,,,NOUN,2.0,0.3241491085899514
min,NOUN,2,0.2063983488132094,,,,NOUN,2.0,0.3241491085899514
question,NOUN,2,0.2063983488132094,,,,NOUN,2.0,0.3241491085899514
meditation,NOUN,2,0.2063983488132094,NOUN,1.0,0.2840909090909091,NOUN,1.0,0.1620745542949757
measure,NOUN,2,0.2063983488132094,,,,NOUN,2.0,0.3241491085899514
mask,NOUN,2,0.2063983488132094,NOUN,1.0,0.2840909090909091,NOUN,1.0,0.1620745542949757
random,ADJ,2,0.2063983488132094,,,,ADJ,2.0,0.3241491085899514
many,ADJ,2,0.2063983488132094,,,,ADJ,2.0,0.3241491085899514
productivity,NOUN,2,0.2063983488132094,,,,NOUN,2.0,0.3241491085899514
specific,ADJ,2,0.2063983488132094,,,,ADJ,2.0,0.3241491085899514
long,ADJ,2,0.2063983488132094,ADJ,1.0,0.2840909090909091,ADJ,1.0,0.1620745542949757
multiple,ADJ,2,0.2063983488132094,,,,ADJ,2.0,0.3241491085899514
lap,NOUN,2,0.2063983488132094,,,,NOUN,2.0,0.3241491085899514
haptic,NOUN,2,0.2063983488132094,ADJ,1.0,0.2840909090909091,NOUN,1.0,0.1620745542949757
point,NOUN,2,0.2063983488132094,NOUN,1.0,0.2840909090909091,NOUN,1.0,0.1620745542949757
rest,NOUN,2,0.2063983488132094,NOUN,2.0,0.5681818181818182,,,
review,NOUN,2,0.2063983488132094,NOUN,1.0,0.2840909090909091,NOUN,1.0,0.1620745542949757
room,NOUN,2,0.2063983488132094,,,,NOUN,2.0,0.3241491085899514
info,NOUN,2,0.2063983488132094,,,,NOUN,2.0,0.3241491085899514
nonverbal,ADJ,2,0.2063983488132094,,,,ADJ,2.0,0.3241491085899514
idea,NOUN,2,0.2063983488132094,,,,NOUN,2.0,0.3241491085899514
route,NOUN,2,0.2063983488132094,,,,NOUN,2.0,0.3241491085899514
mode,NOUN,2,0.2063983488132094,NOUN,1.0,0.2840909090909091,NOUN,1.0,0.1620745542949757
platform,NOUN,2,0.2063983488132094,,,,NOUN,2.0,0.3241491085899514
one,NOUN,2,0.2063983488132094,NOUN,1.0,0.2840909090909091,NOUN,1.0,0.1620745542949757
monitor,NOUN,2,0.2063983488132094,NOUN,1.0,0.2840909090909091,NOUN,1.0,0.1620745542949757
sort,NOUN,2,0.2063983488132094,,,,NOUN,2.0,0.3241491085899514
website,NOUN,2,0.2063983488132094,,,,NOUN,2.0,0.3241491085899514
visible,ADJ,2,0.2063983488132094,,,,ADJ,2.0,0.3241491085899514
such,ADJ,2,0.2063983488132094,ADJ,1.0,0.2840909090909091,ADJ,1.0,0.1620745542949757
todo,ADJ,2,0.2063983488132094,ADJ,1.0,0.2840909090909091,ADJ,1.0,0.1620745542949757
wave,NOUN,2,0.2063983488132094,NOUN,2.0,0.5681818181818182,,,
wallmounted,ADJ,2,0.2063983488132094,ADJ,2.0,0.5681818181818182,,,
button,NOUN,2,0.2063983488132094,NOUN,2.0,0.5681818181818182,,,
thing,NOUN,2,0.2063983488132094,,,,NOUN,2.0,0.3241491085899514
therapy,NOUN,2,0.2063983488132094,NOUN,1.0,0.2840909090909091,NOUN,1.0,0.1620745542949757
bottle,NOUN,2,0.2063983488132094,,,,NOUN,2.0,0.3241491085899514
certain,ADJ,2,0.2063983488132094,ADJ,1.0,0.2840909090909091,ADJ,1.0,0.1620745542949757
use,NOUN,2,0.2063983488132094,NOUN,1.0,0.2840909090909091,NOUN,1.0,0.1620745542949757
temperature,NOUN,2,0.2063983488132094,,,,NOUN,2.0,0.3241491085899514
bus,NOUN,2,0.2063983488132094,,,,NOUN,2.0,0.3241491085899514
sync,NOUN,2,0.2063983488132094,NOUN,2.0,0.5681818181818182,,,
content,NOUN,2,0.2063983488132094,,,,NOUN,2.0,0.3241491085899514
cushion,NOUN,2,0.2063983488132094,NOUN,1.0,0.2840909090909091,NOUN,1.0,0.1620745542949757
current,ADJ,2,0.2063983488132094,ADJ,2.0,0.5681818181818182,,,
disruption,NOUN,2,0.2063983488132094,,,,NOUN,2.0,0.3241491085899514
cup,NOUN,2,0.2063983488132094,,,,NOUN,2.0,0.3241491085899514
adjustment,NOUN,2,0.2063983488132094,NOUN,1.0,0.2840909090909091,NOUN,1.0,0.1620745542949757
travel,NOUN,2,0.2063983488132094,NOUN,1.0,0.2840909090909091,NOUN,1.0,0.1620745542949757
study,NOUN,2,0.2063983488132094,,,,NOUN,2.0,0.3241491085899514
amount,NOUN,2,0.2063983488132094,NOUN,1.0,0.2840909090909091,NOUN,1.0,0.1620745542949757
trivia,ADJ,2,0.2063983488132094,,,,ADJ,2.0,0.3241491085899514
area,NOUN,2,0.2063983488132094,,,,NOUN,2.0,0.3241491085899514
whiteboard,NOUN,2,0.2063983488132094,NOUN,1.0,0.2840909090909091,NOUN,1.0,0.1620745542949757
alert,NOUN,2,0.2063983488132094,,,,NOUN,2.0,0.3241491085899514
tui,NOUN,2,0.2063983488132094,,,,NOUN,2.0,0.3241491085899514
coffee,NOUN,2,0.2063983488132094,,,,NOUN,2.0,0.3241491085899514
vapor,NOUN,1,0.1031991744066047,NOUN,1.0,0.2840909090909091,,,
real,ADJ,1,0.1031991744066047,,,,ADJ,1.0,0.1620745542949757
variety,NOUN,1,0.1031991744066047,NOUN,1.0,0.2840909090909091,,,
realistic,ADJ,1,0.1031991744066047,,,,ADJ,1.0,0.1620745542949757
transportation,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
reading,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
unit,NOUN,1,0.1031991744066047,NOUN,1.0,0.2840909090909091,,,
trip,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
reader,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
tray,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
proximity,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
upper,ADJ,1,0.1031991744066047,,,,ADJ,1.0,0.1620745542949757
unreliablenonexistent,ADJ,1,0.1031991744066047,,,,ADJ,1.0,0.1620745542949757
unobtrusive,ADJ,1,0.1031991744066047,,,,ADJ,1.0,0.1620745542949757
rain,NOUN,1,0.1031991744066047,NOUN,1.0,0.2840909090909091,,,
vehicle,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
unnecessary,ADJ,1,0.1031991744066047,ADJ,1.0,0.2840909090909091,,,
uniterrupted,ADJ,1,0.1031991744066047,,,,ADJ,1.0,0.1620745542949757
spray,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
printer,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
proper,ADJ,1,0.1031991744066047,ADJ,1.0,0.2840909090909091,,,
vibe,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
pet,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
wristsfinger,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
workspace,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
working,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
phonelaptop,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
wood,NOUN,1,0.1031991744066047,NOUN,1.0,0.2840909090909091,,,
physical,ADJ,1,0.1031991744066047,,,,ADJ,1.0,0.1620745542949757
picture,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
wind,NOUN,1,0.1031991744066047,NOUN,1.0,0.2840909090909091,,,
width,NOUN,1,0.1031991744066047,NOUN,1.0,0.2840909090909091,,,
planner,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
planning,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
white,ADJ,1,0.1031991744066047,ADJ,1.0,0.2840909090909091,,,
well,ADJ,1,0.1031991744066047,ADJ,1.0,0.2840909090909091,,,
weight,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
pleasing,ADJ,1,0.1031991744066047,,,,ADJ,1.0,0.1620745542949757
wearer,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
wayalway,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
pocket,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
pomodoro,ADJ,1,0.1031991744066047,,,,ADJ,1.0,0.1620745542949757
walk,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
voice,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
vital,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
visual,ADJ,1,0.1031991744066047,,,,ADJ,1.0,0.1620745542949757
preference,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
videoaudio,ADJ,1,0.1031991744066047,,,,ADJ,1.0,0.1620745542949757
realtime,ADJ,1,0.1031991744066047,ADJ,1.0,0.2840909090909091,,,
video,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
vibration,NOUN,1,0.1031991744066047,NOUN,1.0,0.2840909090909091,,,
reality,NOUN,1,0.1031991744066047,NOUN,1.0,0.2840909090909091,,,
regular,ADJ,1,0.1031991744066047,,,,ADJ,1.0,0.1620745542949757
transit,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
shape,NOUN,1,0.1031991744066047,NOUN,1.0,0.2840909090909091,,,
simple,ADJ,1,0.1031991744066047,ADJ,1.0,0.2840909090909091,,,
similar,ADJ,1,0.1031991744066047,,,,ADJ,1.0,0.1620745542949757
silencer,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
subtle,ADJ,1,0.1031991744066047,ADJ,1.0,0.2840909090909091,,,
sign,NOUN,1,0.1031991744066047,NOUN,1.0,0.2840909090909091,,,
