word,pos
tie,VBN
map,VB
vibrat,NNS
base,VBN
direct,NN
have,VBP
move,VB
bracelet,NN
electrocut,VBZ
do,VBP
go,VB
sleep/wak,VB
time,NN
tamogatchi-lik,JJ
pet,NN
's,VBZ
tie,VBN
pomodoro,NN
system,NN
do,VBP
feed,VB
die,VBZ
respawn,VBZ
own,JJ
orphan,JJ
children,NNS
buttons/mot,NN
sensor,NNS
dine,VBG
hall,NN
tabl,NNS
know,VBP
mani,JJ
tabl,NNS
are,VBP
taken,VBN
arriv,VBP
block,VBZ
work,NN
websit,NNS
set,JJ
leisur,NN
space,NNS
block,NNS
leisur,VBP
websit,NNS
work,NN
space,NNS
guard,NN
face,NN
mask,NN
vibrat,VBZ
clench,VBP
jaw,NN
peopl,NNS
need,VBP
stop,VB
clench,NN
wearabl,JJ
collect,VBZ
data,NNS
bus/train,NN
rout,NNS
alert,NNS
wearer,VBP
are,VBP
~5,JJ
min,NN
stop,NN
put,VB
belong,NNS
earpiece/earbud,NNS
combat,VBP
motion,NN
sick,NN
backpack,NN
wireless,JJ
charger,NN
charg,VB
phone/laptop,NN
use,NN
pocket,NNS
bag/jacket,NN
detect,NN
phone,NN
is,VBZ
place,NNS
phone,NN
uniterrupt,JJ
work,NN
attatch,NN
laptop,NN
detect,VBZ
light,JJ
level,NNS
space,NN
chang,NNS
screen,VBP
bright,NN
color,NN
set,NNS
reduc,VB
eye-strain,NN
sleep,JJ
disrupt,NN
use,VBZ
sensor,NN
alert,VB
someth,NN
took,VBD
wasnt,NN
put,VBD
been,VBN
close,VBN
prevent,VB
loss,NN
light,NN
bracelet,NN
indic,VBZ
wifi,JJ
strength,NN
physic,JJ
measur,NN
time,NN
keep,VB
desk,NN
keep,VB
track,NN
smart,JJ
bag,NN
emit,VBZ
wifi,JJ
signal,NN
laptop,NN
is,VBZ
remov,VBN
nois,NN
cancel,VBG
headphon,NNS
emit,NNS
light,VBD
base,VBN
focu,NN
level,NN
red,JJ
leav,VBP
bag,NN
lock,VBZ
be,VBG
open,JJ
mani,JJ
hour,NNS
encourag,VBG
work,NN
life,NN
balanc,NN
lap,NN
pad,NN
ha,VBZ
stabil,NNS
minim,VB
disrupt,NN
shakey,JJ
tray,NN
tabl,NNS
*,NN
vibrat,VBG
travel,NN
pillow,NN
portabl,JJ
monitor,NN
extend,VB
display,NN
laptop,NN
tablet,NN
eye-track,NN
make,VB
sure,JJ
user,NN
stay,NNS
focus,VBD
air-condit,JJ
softwar,NN
solut,NN
prevent,VBZ
user,NNS
get,VBG
distract,VBN
unnecessari,JJ
notif,NNS
app,VB
mobil,JJ
devic,NN
are,VBP
travel,VBG
devic,NN
attach,VBZ
user,NN
â€™,NN
s,NN
smartphon,NN
monitor,NNS
amount,NN
ambient,NN
light,NN
environ,NN
help,VB
stay,VB
focus,VBN
relax,VBN
commut,NN
*,NN
sleep,VBG
eye,NN
mask,NN
chang,VBZ
temperatur,NN
base,VBN
are,VBP
journey,NN
viabrat,NNS
wake,VB
stop,NN
bag,NN
wireless,NN
charg,VBG
emit,VBZ
wifi,JJ
signal,NN
devic,NN
is,VBZ
remov,VBN
pair,NN
bracelet,NNS
help,VB
navig,VB
new,JJ
citi,NN
vibrat,NN
side,NN
need,VBP
turn,VB
vibrat,NN
need,VBP
stop,VB
*,NN
